speed,avgPickupsCount,avgExtra,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,season
13,17.40861783,6.165684904,5.21951465,8.670224777,29.33756688,29.3703751,5.516984331,279.2871618,285.6188271,Spring
14,16.84560163,5.902979106,5.050680488,8.393202033,28.36564228,28.59272016,5.480483089,270.1405133,130.2240412,Spring
15,17.43820192,6.309488077,5.228394231,8.686745673,29.46448077,29.79969154,5.591160481,283.2080319,157.1119774,Spring
16,17.08480769,4.702723462,5.122473077,8.512417949,28.92678205,28.19189833,5.227133205,270.4909996,1083.934123,Spring
17,17.63835616,8.490794658,5.288124658,8.787920548,29.88193151,29.78336274,5.138853151,283.2263188,282.0122273,Spring
18,18.52691667,8.516558833,5.554695,9.2284175,31.35288333,32.09618083,5.8251505,301.2397605,212.1040422,Spring
20,19.2460339,8.270390339,5.770805085,9.591646441,32.54749153,32.92540644,5.531609492,307.283269,650.3987407,Spring
21,19.03669811,8.320538113,5.707375472,9.486458491,32.37937736,32.94398264,5.636728679,310.9784757,613.3298968,Spring
22,19.26508824,9.383094118,5.775811765,9.601808824,32.93320588,32.19860941,5.519285,307.8717574,58.23119706,Spring
23,19.5053125,8.767492188,5.84855625,9.72052,33.18390625,33.37947,5.693142188,314.3375541,576.7280666,Spring
24,22.07678571,8.786189286,6.619285714,11.006525,38.32935714,34.92484714,4.911438571,375.9882557,304.000745,Spring
25,21.16061111,8.681138889,6.3455,10.54582778,36.24672222,36.07270944,5.574462778,336.7066539,54.32103278,Spring
26,20.89592308,10.59596154,6.265707692,10.41403846,35.49669231,33.14361923,5.640906154,321.9935115,716.7993431,Spring
28,22.27055556,11.49294444,6.6784,11.103,37.77722222,36.69527556,5.917876667,349.7217244,982.6296811,Spring
29,23.14383333,8.37175,6.94025,11.53666667,39.31066667,38.31781833,5.994706667,360.1794217,3350.658027,Spring
30,25.3895,16.0466625,7.611825,12.65775,42.66,43.685485,5.9224175,407.818875,1919.086183,Spring
31,23.75233333,4.161466667,7.1237,11.84283333,41.556,33.47388,4.335133333,334.8827833,2627.59618,Spring
32,21.35,0.0313,6.4029,10.636,37.432,25.96322,4.83459,298.26173,54.44534,Spring
0,14.6466378,2.508828819,4.390894488,7.29070748,24.45045669,24.54230173,4.640876929,233.35173,149.3623448,Summer
3,15.47508163,2.416524592,4.639665306,7.705218878,25.63910204,26.07848388,4.982878265,243.2623156,249.1533254,Summer
5,15.50651613,3.967845484,4.648333065,7.71986621,26.04275806,25.93593782,4.676422823,246.3942881,307.124964,Summer
6,16.25544079,4.364786184,4.873490132,8.095354276,27.28542105,27.67311829,5.243451908,262.0637936,442.4510021,Summer
7,15.75414865,3.34156723,4.723068243,7.842282838,26.5247973,26.05879899,5.249373108,251.754209,174.2741077,Summer
8,16.78259639,4.59541759,5.031442771,8.357025904,28.31293373,28.3752347,5.256368916,268.9184852,177.3543693,Summer
9,16.94379275,4.775671606,5.079596891,8.436091192,28.43737824,29.15732896,5.584802073,277.141735,125.9668322,Summer
10,16.69510417,5.393080677,5.005095313,8.31317224,28.03113542,28.70486833,5.668408281,271.6016669,340.6382566,Summer
11,17.54000524,5.853373246,5.258923037,8.73644178,29.48595812,30.06995613,5.46853377,281.8399582,351.0960221,Summer
13,17.40861783,6.165684904,5.21951465,8.670224777,29.33756688,29.3703751,5.516984331,279.2871618,285.6188271,Summer
14,16.84560163,5.902979106,5.050680488,8.393202033,28.36564228,28.59272016,5.480483089,270.1405133,130.2240412,Summer
15,17.43820192,6.309488077,5.228394231,8.686745673,29.46448077,29.79969154,5.591160481,283.2080319,157.1119774,Summer
16,17.08480769,4.702723462,5.122473077,8.512417949,28.92678205,28.19189833,5.227133205,270.4909996,1083.934123,Summer
17,17.63835616,8.490794658,5.288124658,8.787920548,29.88193151,29.78336274,5.138853151,283.2263188,282.0122273,Summer
18,18.52691667,8.516558833,5.554695,9.2284175,31.35288333,32.09618083,5.8251505,301.2397605,212.1040422,Summer
20,19.2460339,8.270390339,5.770805085,9.591646441,32.54749153,32.92540644,5.531609492,307.283269,650.3987407,Summer
21,19.03669811,8.320538113,5.707375472,9.486458491,32.37937736,32.94398264,5.636728679,310.9784757,613.3298968,Summer
22,19.26508824,9.383094118,5.775811765,9.601808824,32.93320588,32.19860941,5.519285,307.8717574,58.23119706,Summer
23,19.5053125,8.767492188,5.84855625,9.72052,33.18390625,33.37947,5.693142188,314.3375541,576.7280666,Summer
24,22.07678571,8.786189286,6.619285714,11.006525,38.32935714,34.92484714,4.911438571,375.9882557,304.000745,Summer
25,21.16061111,8.681138889,6.3455,10.54582778,36.24672222,36.07270944,5.574462778,336.7066539,54.32103278,Summer
26,20.89592308,10.59596154,6.265707692,10.41403846,35.49669231,33.14361923,5.640906154,321.9935115,716.7993431,Summer
28,22.27055556,11.49294444,6.6784,11.103,37.77722222,36.69527556,5.917876667,349.7217244,982.6296811,Summer
29,23.14383333,8.37175,6.94025,11.53666667,39.31066667,38.31781833,5.994706667,360.1794217,3350.658027,Summer
30,25.3895,16.0466625,7.611825,12.65775,42.66,43.685485,5.9224175,407.818875,1919.086183,Summer
31,23.75233333,4.161466667,7.1237,11.84283333,41.556,33.47388,4.335133333,334.8827833,2627.59618,Summer
32,21.35,0.0313,6.4029,10.636,37.432,25.96322,4.83459,298.26173,54.44534,Summer
