dewpoint,avgPickupsCount,avgExtra,avgFareAmt,avgImprovementSurcharge,avgMtaTax,avgPassengerCount,avgTipAmt,avgTollsAmt,avgTotalamt,avgTripDist,DayWeek,
33,15.75,6.81,203.97,4.72,7.84,26.18,27.88,5.06,256.29,46.68,WeekDay,
34,18.13,4.88,223.48,5.44,9.03,31.48,28.46,4.68,275.98,131.63,Weekend,
34,15.12,6.91,194.61,4.53,7.53,24.98,26.83,4.96,245.38,43.74,WeekDay,
35,19,2.81,239.38,5.44,9.23,32.32,28.64,5.37,290.99,274.61,Weekend,
35,14.65,4.98,192.34,4.39,7.30,24.22,25.62,5.21,239.84,279.32,WeekDay,
36,17.74,4.62,223.75,5.23,8.84,30.89,28.15,4.55,275.23,54.81,Weekend,
36,16.26,4.70,214.03,4.87,8.09,26.83,29.26,5.94,266.90,428.98,WeekDay,
37,18.30,4.09,225.68,5.49,9.12,31.84,28.25,4.40,277.03,77.97,Weekend,
37,15.61,6.07,204.52,4.68,7.77,25.73,27.89,5.56,256.49,403.71,WeekDay,
38,17.36,4.13,210.29,5.09,8.65,30.14,26.23,4.23,258.72,50.76,Weekend,
38,15.88,5.16,210.22,4.76,7.91,26.26,28.50,5.62,262.18,263.75,WeekDay,
39,16.06,5.18,205.47,4.81,8.00,27.97,132.37,3.82,359.65,"1,007.35",Weekend,
39,15.01,4.86,194.05,4.50,7.47,24.73,26.60,4.90,242.38,154.52,WeekDay,
40,18.33,6.10,228.21,5.37,9.13,31.95,28.45,3.67,281.05,"1,038.96",Weekend,
40,16.97,6.29,222.83,5.09,8.45,28.34,29.95,5.77,278.44,53.09,WeekDay,
41,16.16,4.74,201.58,4.64,8.05,28.14,24.70,3.85,247.76,76.02,Weekend,
41,16.20,6.67,211.75,4.86,8.07,26.85,28.68,5.75,265.78,355.18,WeekDay,
42,18.92,5.96,233.43,5.52,9.43,33.12,28.79,3.81,287.09,54.11,Weekend,
42,16.25,4.99,210.39,4.87,8.09,26.87,28.50,5.24,262.09,123.30,WeekDay,
43,19.77,3.42,300.13,5.80,9.85,34.50,30.42,5.18,354.92,76.44,Weekend,
43,16.08,4.54,208.04,4.82,8.02,26.74,27.94,5.38,258.73,366.59,WeekDay,
44,16.96,3.99,216.65,4.81,8.44,29.51,26.97,4.45,265.58,55.11,Weekend,
44,13.75,4.97,180.62,4.12,6.84,22.76,24.55,4.96,226.06,42.18,WeekDay,
45,17.28,3.14,216.36,5.11,8.60,30.10,26.68,4.67,264.64,522.88,Weekend,
45,15.58,6.38,203.56,4.67,7.76,25.82,27.75,5.16,255.28,248.57,WeekDay,
46,15.57,3.35,199.08,4.61,7.75,27.01,24.65,4.40,243.90,204.76,Weekend,
46,16.60,6.25,218.07,4.98,8.27,27.54,29.83,5.73,273.13,128.66,WeekDay,
47,12.50,2.89,160.50,3.70,6.22,21.64,19.87,3.81,197.04,116.99,Weekend,
47,16.22,5.04,213.71,4.86,8.08,26.80,29.28,5.70,266.68,185.87,WeekDay,
48,15.06,2.24,193.00,4.46,7.50,26.10,23.53,4.44,235.23,72.95,Weekend,
48,15.17,4.13,201.61,4.55,7.55,25.04,27.30,5.39,250.53,108.32,WeekDay,
49,16.13,3.93,206.36,4.70,8.03,28.19,25.45,4.31,252.92,74.09,Weekend,
49,14.19,3.21,187.42,4.25,7.06,23.49,24.94,5.20,232.09,180.03,WeekDay,
50,16.39,3.22,210.12,4.80,8.16,28.66,26.02,4.88,257.32,210.46,Weekend,
50,15.39,4.76,201.93,4.62,7.67,25.59,27.36,5.25,251.59,192.49,WeekDay,
51,15.23,3.10,198.48,4.48,7.58,26.47,24.70,4.54,242.97,47.62,Weekend,
51,15.32,5.35,201.15,4.59,7.63,25.52,26.93,5.35,250.99,124.77,WeekDay,
52,15.11,1.75,193.52,4.53,7.52,26.32,23.36,4.92,235.61,46.88,Weekend,
52,14.40,5.32,188.59,4.32,7.17,24.03,25.16,4.83,235.39,34.28,WeekDay,
53,16.12,2.78,210.68,4.83,8.02,28.35,25.50,5.44,257.25,288.71,Weekend,
53,14.56,5.79,191.79,4.37,7.25,24.27,25.58,5.09,239.87,149.91,WeekDay,
54,16.28,3.11,212.56,4.88,8.10,28.63,25.53,4.78,258.95,54.44,Weekend,
54,16.11,7.66,209.28,4.83,8.02,26.91,28.49,5.35,263.63,130.20,WeekDay,
55,17.20,2.98,219.18,5.16,8.56,30.23,26.29,4.70,266.88,51.64,Weekend,
55,17.50,7.19,227.27,5.25,8.72,29.05,31.21,5.98,285.61,85.23,WeekDay,
56,15.85,2.90,199.81,4.75,7.89,27.81,23.61,4.18,243.28,58.42,Weekend,
56,16.26,6.02,211.64,4.87,8.10,27.11,28.74,5.31,264.68,321.73,WeekDay,
57,15.40,3.04,193.57,4.62,7.67,26.89,23.27,4.24,236.41,376.57,Weekend,
57,14.87,4.79,196.60,4.46,7.41,24.83,26.20,5.24,244.69,62.63,WeekDay,
58,15.01,3.00,191,4.50,7.48,26.35,22.37,3.94,232.67,45.54,Weekend,
58,14.57,5.35,192.36,4.37,7.26,24.49,25.37,4.89,239.59,50.88,WeekDay,
59,12.45,3.03,160.01,3.73,6.20,21.76,19.09,3.53,196.03,240.13,Weekend,
59,16.04,5.54,214.60,4.81,7.99,26.83,28.59,5.60,267.12,257.17,WeekDay,
60,13.87,2.28,175.39,4.16,6.90,24.24,20.72,4.13,213.58,247.52,Weekend,
60,15.93,5.34,210.72,4.78,7.93,26.55,28.16,5.41,262.35,217.27,WeekDay,
61,14.92,4,194.05,4.47,7.43,26.04,23.93,4.27,237.90,49.37,Weekend,
61,16.17,6.41,216.75,4.85,8.05,26.95,28.96,5.43,270.46,48.91,WeekDay,
62,15.17,3.99,196.85,4.55,7.55,26.45,24.17,4.43,241.54,85.36,Weekend,
62,15.34,5.08,206.14,4.60,7.64,25.59,26.90,5.21,255.57,50.49,WeekDay,
63,14.09,2.92,186.73,4.22,7.01,24.46,22.80,4.40,228.11,53.88,Weekend,
63,15.88,5.99,207.91,4.76,7.91,26.43,28.02,5.53,260.12,120.87,WeekDay,
64,14.22,2.41,183.56,4.26,7.08,24.73,22.21,4.65,224.17,46.16,Weekend,
64,15.42,6.96,202.98,4.62,7.68,25.71,27.25,5.22,254.72,85.98,WeekDay,
65,16.09,2.45,206.50,4.82,8.01,28.03,25.14,4.91,251.83,75.77,Weekend,
65,16.25,6.52,213.46,4.87,8.10,27.18,28.47,5.55,266.97,217.87,WeekDay,
66,17.48,3.33,220.45,5.24,8.71,30.55,26.85,4.82,269.40,277.42,Weekend,
66,13.96,4.85,184.92,4.19,6.95,23.35,24.11,5.23,230.27,57.12,WeekDay,
67,13.58,4.07,175.51,4.07,6.76,23,21.66,3.88,215.96,43.98,Weekend,
67,14.17,4.70,183.34,4.25,7.06,23.64,24.03,5.04,228.41,78.91,WeekDay,
68,12.96,4.19,166.83,3.88,6.45,22.61,20.35,3.43,205.14,42.83,Weekend,
68,12.66,3.49,166.95,3.79,6.30,21.12,21.40,4.61,206.56,145.55,WeekDay,
69,14.54,5.90,190.32,4.36,7.24,25.43,23.82,3.51,235.16,47.80,Weekend,
69,12.74,3.13,166.77,3.82,6.34,21.20,21.68,4.60,206.35,176.82,WeekDay,
70,16.29,6,211.27,4.88,8.12,28.39,26.80,3.83,260.51,52.20,Weekend,
70,14.90,6.14,191.06,4.47,7.42,24.78,25.72,4.84,239.66,109.47,WeekDay,
71,17.68,4.07,220.74,5.30,8.81,31.48,26.08,4.38,269.38,64.10,Weekend,
71,14.95,5.16,192.40,4.48,7.45,24.86,26.00,4.77,240.26,51.90,WeekDay,
72,12.73,4,161.32,3.82,6.33,22.22,20.17,2.84,198.81,886.13,Weekend,
72,15.70,6.93,205.56,4.71,7.82,26.19,28.16,4.76,257.94,154.76,WeekDay,
73,18.31,2.92,230.65,5.49,9.12,31.95,28.85,6.90,283.93,57.76,Weekend,
73,14.86,5.89,193.05,4.45,7.40,24.88,25.96,4.58,241.34,44.54,WeekDay,
74,20,0.068166667,256.71,6.09,10.12,35.90,31.24,7.91,312.15,61.96,Weekend,
74,13.29,3.95,174.36,3.98,6.61,22.09,23.11,4.98,217.00,40.20,WeekDay,
75,14.83,4.02,216.31,4.45,7.38,24.90,27.59,6.13,265.89,43.94,WeekDay,
